index,식품명,식품중량,탄수화물(g),단백질(g),지방(g),에너지(kcal)
529,참깨죽,100.0,5.9,1.0,1.2,38
530,참치죽,800.0,13.07,3.02,2.01,82
531,채소죽,100.0,13.3,1.15,1.39,70
532,현미죽,100.0,15.2,1.2,0.4,64
533,감자국,700.0,4.94,1.19,0.79,32
534,게국지,1100.0,2.88,4.08,1.1,38
535,곰치국,1000.0,2.39,5.43,1.18,42
536,곰탕,300.0,6.03,6.47,1.23,61
537,김치국,450.0,2.33,1.2,0.62,20
538,낙지탕,600.0,1.73,4.9,0.53,31
539,달걀국,100.0,1.12,3.25,2.38,39
540,칼국수_해물,900.0,13.77,2.53,0.51,70
541,콩국수,100.0,11.69,4.61,3.83,100
542,탄탄면_간편조리세트_마라 탄탄면,599.0,21.0,5.73,7.4,174
543,팟타이_간편조리세트_비프 팟타이,576.0,22.5,7.04,12.58,231
544,팟타이,100.0,18.54,3.98,6.2,146
545,게살죽,800.0,13.42,2.24,0.89,71
546,깨죽,800.0,9.91,1.71,1.99,64
547,미음,100.0,4.7,0.3,0.0,19
548,미음_칠분도미,100.0,4.6,0.3,0.1,20
549,미음_현미,100.0,4.4,0.4,0.1,19
550,백합죽,700.0,12.1,2.36,0.8,65
551,소고기버섯죽,800.0,13.63,2.34,0.93,72
552,스프_감자,100.0,7.91,1.91,6.54,98
553,스프_소고기,100.0,6.91,1.06,0.87,40
554,스프_양송이버섯,100.0,7.23,0.78,1.11,42
555,스프_크림,100.0,7.03,0.64,1.59,45
557,쌀죽(흰죽),100.0,11.45,0.99,0.15,53
559,울면,1000.0,12.82,3.75,0.74,73
560,월남쌈_간편조리세트_불고기월남쌈,733.0,17.1,7.22,5.81,150
561,월남쌈_간편조리세트_소고기야채말이,580.0,6.61,10.47,5.34,116
562,월남쌈_간편조리세트_훈제오리월남쌈,888.0,15.37,5.16,3.22,111
563,자장면,650.0,20.56,3.04,3.13,123
564,자장면_삼선,700.0,18.08,4.81,2.59,115
565,짬뽕_간편조리세트_나가사키 짬뽕탕,2152.0,8.96,2.82,1.62,62
566,짬뽕_간편조리세트_통오징어짬뽕탕,1204.0,3.62,4.15,2.77,56
567,짬뽕_굴,900.0,12.85,3.65,1.07,76
568,짬뽕_백짬뽕,100.0,8.54,3.66,1.54,63
569,짬뽕_삼선,900.0,11.3,4.4,1.2,74
570,짬뽕_차돌박이,100.0,9.82,4.58,3.42,88
571,칼국수_간편조리세트_닭한마리와 칼국수,2292.0,10.53,7.95,2.28,94
572,칼국수_간편조리세트_세숫대야 바지락칼국수,2159.0,9.72,2.28,2.87,74
573,칼국수_간편조리세트_원주식장칼국수,1367.0,15.27,2.71,0.66,78
574,칼국수_간편조리세트_장칼국수,1330.0,15.06,2.51,1.12,80
575,칼국수_닭고기,900.0,10.52,4.69,1.42,74
576,칼국수_들깨,600.0,9.97,2.93,2.75,76
577,스파게티_간편조리세트_트러플 크림 파스타,653.0,16.93,4.31,7.42,152
578,스파게티_간편조리세트_할라피뇨베이컨파스타,851.0,19.29,4.62,11.59,200
